"lang"
{
"Language"	"pirate"
"Tokens"
{
"DOTA_Move"	"Order"
"DOTA_UnitQuery"	"Shiver th' timbers o' an object/unit"
"DOTA_ExecuteAbility0"	"First Skill"
"DOTA_ExecuteAbility1"	"Second Skill"
"DOTA_ExecuteAbility2"	"Third Skill"
"DOTA_ExecuteAbility3"	"Fourth Skill"
"DOTA_ExecuteAbility4"	"Fifth Skill"
"DOTA_ExecuteAbility5"	"Ultimate Skill"
"DOTA_RespawnTime"	"Rejoinin' yer crew in %s1 grains o' sand"
"DOTA_RespawnTimeShort"	"Rejoin yer crew in %s1 grains"
"DOTA_UnitLevel"	"Rank %s1"
"DOTA_StrengthStatus"	"%s1 MGT"
"DOTA_STR"	"MGT"
"DOTA_AgilityStatus"	"%s1 NBL"
"DOTA_AGI"	"NBL"
"DOTA_IntellectStatus"	"%s1 WIT"
"DOTA_INT"	"WIT"
"DOTA_DamageStatus"	"%s1 Damage"
"DOTA_ArmorStatus"	"%s1 Armor"
"DOTA_ARMOR"	"ARMOR"
"DOTA_UnitHold"	"Hold Yer Ground!"
"DOTA_UnitStop"	"Hault"
"DOTA_LevelUp"	"RANK UP"
"DOTA_LevelUp_Req"	"Yer Admiral Needs t' Be Rank %s1"
"DOTA_AttributesUp"	"RANK %s1"
"DOTA_Abilities"	"SKILLS"
"DOTA_Items"	"LOOT YER USIN'"
"DOTA_AttribArmor"	"Armor"
"DOTA_AttribDamage"	"Damage"
"DOTA_More"	"MORE"
"DOTA_Developer"	"Craftsman"
"DOTA_NeedMana"	"%s1 grain(s)"
"DOTA_ManaCost"	"RUM PRICE %s1"
"DOTA_Basics"	"TH' ROPES"
"DOTA_Upgrades"	"MAKIN' BETTER"
"DOTA_Attributes"	"ATTRIBUTES"
"DOTA_LevelLabel"	"Rank: %s1"
"DOTA_StackCount"	"Stack Count: %s1"
"DOTA_Charges"	"Uses: %s1"
"DOTA_Health"	"LIFE"
"DOTA_Mana"	"RUM"
"DOTA_Skills"	"CRAFTS"
"DOTA_AttributeFooter"	"DAMAGE: %s1 ARMOR: %s2"
"DOTA_UnitSelection_Title"	"UNIT SELECTION"
"DOTA_SelectHeroAndCenter"	"Pick Admiral an' Center Spyglass"
"DOTA_TabUnit"	"Cycle Through Highlighted Units"
"DOTA_StatTooltip_Header"	"Admiral Attributes:\n\n"
"DOTA_StatTooltip_Strength"	"Might:"
"DOTA_StatTooltip_Agility"	"Nimbleness:"
"DOTA_StatTooltip_Intelligence"	"Wits:"
"DOTA_StatTooltip_PrimaryAttrib"	" Main Attribute\n"
"DOTA_StatTooltip_AgilityBonus"	"- Every 7 tallies buff up yer armor by 1\n- Each tally also increases yer beatin' speed by 1% t' boot\n"
"DOTA_StatTooltip_PrimaryBonus"	"- Each tally increases yer damage by 1\n"
"DOTA_GoodGuys"	"Th' Radiant"
"DOTA_BadGuys"	"Th' Dire"
"DOTA_Towers"	"Crow's Nests Still Standin': %s1"
"DOTA_Barracks"	"Cabins: %s1"
"DOTA_NotAvailable"	"Not 'ere Yet"
"DOTA_MoveForward"	"Spyglass North"
"DOTA_MoveBack"	"Spyglass South"
"DOTA_MoveLeft"	"Spyglass West"
"DOTA_MoveRight"	"Spyglass East"
"DOTA_CameraGrip"	"Spyglass Grip"
"DOTA_HeroSelect"	"Choose Admiral"
"DOTA_HeroCenter"	"Admiral's Quarters"
"DOTA_HeroMoveHome"	"Admiral T' Be Headin' Home"
"DOTA_Escape"	"Flee"
"DOTA_Scoreboard"	"Tallyboard"
"DOTA_Screenshot"	"Paintin'"
"DOTA_Voice"	"Jabberin'"
"DOTA_VoiceLane"	"Jabberin' Lane"
"DOTA_ChatGlobal"	"Port Parley"
"DOTA_ChatTeam"	"Crew Parley"
"DOTA_Learn_Abilities"	"Skill Learn"
"DOTA_Learn_Stats"	"Toughen Up"
"DOTA_UseActionItem_Key"	"Action Loot"
"DOTA_StatTooltip_TotalAttributesSkilled"	"Attributes Rank: "
"DOTA_DmgArmorTooltip_AttackSpeed"	"Attack Speed: "
"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	"s per attack"
"DOTA_DmgArmorTooltip_MoveSpeed"	"Movement Speed: "
"DOTA_DmgArmorTooltip_AttackDamage"	"Attack Damage:"
"DOTA_DmgArmorTooltip_AttackRange"	"Attackin' Range:"
"DOTA_DmgArmorTooltip_Armor"	"Bang-Blockin' Armor: "
"DOTA_DmgArmorTooltip_DmgResist"	"Beatin' Resistance: "
"DOTA_DmgArmorTooltip_MagicArmor"	"Witchcraft Protection: "
"DOTA_DmgArmorTooltip_MagicDmgResist"	"Witchcraft Resistance:"
"DOTA_HeroTaunt_Key"	"Mockin' Loot"
"DOTAUI_AspectNormal"	"4:3"
"DOTAUI_AspectWide16x9"	"16:9"
"DOTAUI_AspectWide16x10"	"16:10"
"DOTAUI_Fullscreen"	"Fullscreen"
"DOTAUI_Window"	"Window"
"DOTAUI_BorderlessWindow"	"Borderless Window"
"DOTA_Welcome"	"Avast ye, an' welcome t' DotA"
"DOTA_Chat_Team"	"[SHIPMATES] %s1: %s2"
"DOTA_Chat_Team_Dead"	"*DEAD*[SHIPMATES] %s1: %s2"
"DOTA_Chat_Spec"	"[Lookout] %s1: %s2"
"DOTA_Chat_All"	"%s1: %s2"
"DOTA_Chat_PlayerKilled"	"%s1 just blast'd off an' bagg'd %s2's head fer %s3 coins!"
"DOTA_Chat_PlayerDenied"	"Arr, %s1 gave mercy t' %s2!"
"DOTA_Chat_PlayerDeniedSelf"	"%s1 just sent themself t' Davy Jones' Locker!"
"DOTA_Chat_PlayerKilledAssist"	"Arr, %s1 has been slain! %s2 coins t' be shared wit' assisters:"
"DOTA_Chat_TowerPlayerKilled"	"%s1 wrecked a crow's nest!"
"DOTA_Chat_TowerKilledGood"	"A crow's nest was wreck'd by Th' Dire!"
"DOTA_Chat_TowerKilledBad"	"A crow's nest was wreck'd by Th' Radiant!"
"DOTA_Chat_BarracksKilled"	"%s1 %s2 %s3 Cabins has been wrecked!"
"DOTA_Chat_TowerDenied"	"%s1 denied a crow's nest!"
"DOTA_Chat_BuyBack"	"%s1 just paid his way out o' Jones' locker an' be kickin' arse yet again!"
"DOTA_Chat_PickedUpAegis"	"%s1 pilfered th' Aegis o' th' Immortal!"
"DOTA_Chat_KilledRoshanGood"	"Th' Kraken has been sent t' Davy Jones' Locker by th' Radiant! %s1 coins t' each admiral o' Th' Radiant!"
"DOTA_Chat_KilledRoshanBad"	"Th' Kraken has been slain by th' Dire! %s1 coins t' each admiral o' Th' Dire!"
"DOTA_Chat_SuperCreepsGood"	"All o' th' Dire Cabins be wrecked. Th' Radiant now be havin' Mega creeps!"
"DOTA_Chat_SuperCreepsBad"	"All o' th' Radiant Cabins be wrecked. Th' Dire now be havin' Mega creeps!"
"DOTA_Chat_Connect"	"%s1 has docked at th' port."
"DOTA_Chat_Disconnect"	"%s1 'as jump'd o'erboard."
"DOTA_Chat_DisconnectTimeRemaining"	"<font color='#FF0000'><b>%s1 has %s2 shots o' rum left t' be back onboard.</b></font>"
"DOTA_Chat_DisconnectTimeRemainingPlural"	"<font color='#FF0000'><b>%s1 has %s2 shots o' rum left t' be back onboard.</b></font>"
"DOTA_Chat_Reconnect"	"%s1 just decided t' come back fer more adventurin'."
"DOTA_Chat_Rune_DoubleDamage"	"%s1 'as activated a <font color='#82CAFF'>Double Damage</font> rune."
"DOTA_Chat_Rune_Haste"	"%s1 'as activated a <font color='#F62817'>Haste</font> rune."
"DOTA_Chat_Rune_Illusion"	"%s1 'as activated an <font color='#FFD700'>Illusion</font> rune."
"DOTA_Chat_Rune_Invisibility"	"%s1 'as activated an <font color='#8B008B'>Invisibility</font> rune."
"DOTA_Chat_Rune_Regeneration"	"%s1 'as activated a <font color='#7FFF00'>Regeneration</font> rune."
"DOTA_Chat_Rune_Bottle_DoubleDamage"	"%s1 'as stuck a <font color='#82CAFF'>Double Damage</font> rune in a bottle."
"DOTA_Chat_Rune_Bottle_Haste"	"%s1 'as stuck a <font color='#F62817'>Haste</font> rune in a bottle."
"DOTA_Chat_Rune_Bottle_Illusion"	"%s1 'as stuck an <font color='#FFD700'>Illusion</font> rune in a bottle."
"DOTA_Chat_Rune_Bottle_Invisibility"	"%s1 'as stuck an <font color='#8B008B'>Invisibility</font> rune in a bottle."
"DOTA_Chat_Rune_Bottle_Regeneration"	"%s1 'as stuck a <font color='#7FFF00'>Regeneration</font> rune in a bottle."
"DOTA_Chat_NoHero"	"No Admiral"
"DOTA_Chat_SecretShop"	"Head t' th' black market t' get yerself a %s1"
"DOTA_Chat_ItemAutoPurchased"	"Th' item %s1 has been aquiered fer ye!"
